CPMG train data
Estimated phase correction: -2.069873 rad
time in s	real part	imag part	abs value
0.026503	-0.001912	-0.003213	0.003739
0.026553	-0.001350	-0.003781	0.004015
0.026603	-0.001812	-0.003739	0.004154
0.026653	-0.001380	-0.003409	0.003678
0.026703	-0.001868	-0.003225	0.003727
0.026753	-0.001768	-0.003467	0.003892
0.026803	-0.001789	-0.003553	0.003979
0.026853	-0.002025	-0.003085	0.003690
0.026903	-0.001880	-0.003745	0.004190
0.026953	-0.001974	-0.003065	0.003646
0.027003	-0.002199	-0.003450	0.004091
0.027053	-0.002415	-0.003754	0.004464
0.027103	-0.001523	-0.003287	0.003623
0.027153	-0.001739	-0.003273	0.003706
0.027203	-0.001667	-0.003487	0.003865
0.027253	-0.002124	-0.003584	0.004166
0.027303	-0.001534	-0.003674	0.003982
0.027353	-0.001545	-0.003596	0.003914
0.027403	-0.002060	-0.003624	0.004169
0.027453	-0.001993	-0.003460	0.003993
0.027503	-0.001982	-0.003741	0.004233
0.027553	-0.001834	-0.003609	0.004048
0.027603	-0.001904	-0.003046	0.003592
0.027653	-0.002063	-0.003391	0.003969
0.027703	-0.002231	-0.003247	0.003939
0.027753	-0.001996	-0.003712	0.004214
0.027803	-0.002269	-0.003227	0.003945
0.027853	-0.001475	-0.003464	0.003765
0.027903	-0.001649	-0.003272	0.003664
0.027953	-0.001844	-0.003651	0.004090
0.028003	-0.001637	-0.003482	0.003847
0.028053	-0.001542	-0.003684	0.003994
0.028103	-0.001634	-0.003297	0.003680
0.028153	-0.001778	-0.003568	0.003987
0.028203	-0.002012	-0.003007	0.003618
0.028253	-0.001913	-0.003480	0.003971
0.028303	-0.001844	-0.003258	0.003744
0.028353	-0.001681	-0.003430	0.003820
0.028403	-0.001882	-0.003586	0.004049
0.028453	-0.001852	-0.003601	0.004050
0.028503	-0.002025	-0.003297	0.003869
0.028553	-0.001664	-0.003298	0.003694
0.028603	-0.001942	-0.003342	0.003865
0.028653	-0.002134	-0.003324	0.003950
0.028703	-0.001761	-0.003613	0.004020
0.028753	-0.001464	-0.003521	0.003813
0.028803	-0.002002	-0.003422	0.003965
0.028853	-0.001867	-0.002945	0.003487
0.028903	-0.001787	-0.003113	0.003589
0.028953	-0.001876	-0.003494	0.003966
0.029003	-0.001543	-0.003559	0.003879
0.029053	-0.001679	-0.003530	0.003909
0.029103	-0.001853	-0.003197	0.003695
0.029153	-0.001852	-0.003293	0.003778
0.029203	-0.001801	-0.003549	0.003980
0.029253	-0.002033	-0.003022	0.003642
0.029303	-0.002398	-0.003638	0.004357
0.029353	-0.001737	-0.003229	0.003667
0.029403	-0.001536	-0.003207	0.003556
0.029453	-0.001597	-0.003611	0.003948
0.029503	-0.001675	-0.003260	0.003665
0.029553	-0.001494	-0.002987	0.003340
0.029603	-0.002279	-0.002784	0.003598
0.029653	-0.001751	-0.003813	0.004196
0.029703	-0.001851	-0.003456	0.003920
0.029753	-0.001778	-0.002982	0.003472
0.029803	-0.001764	-0.003131	0.003594
0.029853	-0.001836	-0.002955	0.003479
0.029903	-0.001882	-0.003487	0.003963
0.029953	-0.001780	-0.003200	0.003662
0.030003	-0.001940	-0.003566	0.004060
0.030053	-0.001886	-0.004094	0.004507
0.030103	-0.001927	-0.003223	0.003755
0.030153	-0.001678	-0.002993	0.003432
0.030203	-0.001816	-0.003368	0.003827
0.030253	-0.001980	-0.003750	0.004240
0.030303	-0.001695	-0.003425	0.003822
0.030353	-0.001734	-0.003592	0.003989
0.030403	-0.001860	-0.003220	0.003719
0.030453	-0.002173	-0.003017	0.003718
0.030503	-0.001946	-0.003707	0.004187
0.030553	-0.001882	-0.003496	0.003971
0.030603	-0.001835	-0.003479	0.003934
0.030653	-0.001276	-0.003387	0.003620
0.030703	-0.001545	-0.003424	0.003756
0.030753	-0.002202	-0.003400	0.004051
0.030803	-0.001824	-0.003322	0.003789
0.030853	-0.001751	-0.003418	0.003840
0.030903	-0.001714	-0.003009	0.003463
0.030953	-0.001929	-0.003155	0.003698
0.031003	-0.001579	-0.003571	0.003904
0.031053	-0.001657	-0.003353	0.003740
0.031103	-0.001657	-0.003668	0.004025
0.031153	-0.001956	-0.003348	0.003877
0.031203	-0.001393	-0.003238	0.003524
0.031253	-0.001855	-0.003473	0.003937
